quantile,sigma,topic,events,sse_events,sse_rate,size_threshold,growth_threshold,use_global_thresholds
0.95,2.0,__ALL__,60000,1370,0.022833333333333334,,,False
0.95,2.0,abroad,20000,360,0.018,5.0,3.7612380027115018,False
0.95,2.0,airstrikes,20000,646,0.0323,18.0,9.79319132122506,False
0.95,2.0,alcohol,20000,364,0.0182,6.0,4.355519379177401,False
0.95,3.0,__ALL__,60000,958,0.015966666666666667,,,False
0.95,3.0,abroad,20000,169,0.00845,5.0,5.014657004067253,False
0.95,3.0,airstrikes,20000,538,0.0269,18.0,13.639586981837589,False
0.95,3.0,alcohol,20000,251,0.01255,6.0,5.899354068766101,False
0.95,4.0,__ALL__,60000,734,0.012233333333333334,,,False
0.95,4.0,abroad,20000,139,0.00695,5.0,6.268076005423003,False
0.95,4.0,airstrikes,20000,410,0.0205,18.0,17.485982642450118,False
0.95,4.0,alcohol,20000,185,0.00925,6.0,7.443188758354801,False
0.975,2.0,__ALL__,60000,851,0.014183333333333333,,,False
0.975,2.0,abroad,20000,219,0.01095,10.0,3.7612380027115018,False
0.975,2.0,airstrikes,20000,425,0.02125,39.0,9.79319132122506,False
0.975,2.0,alcohol,20000,207,0.01035,15.0,4.355519379177401,False
0.975,3.0,__ALL__,60000,743,0.012383333333333333,,,False
0.975,3.0,abroad,20000,152,0.0076,10.0,5.014657004067253,False
0.975,3.0,airstrikes,20000,388,0.0194,39.0,13.639586981837589,False
0.975,3.0,alcohol,20000,203,0.01015,15.0,5.899354068766101,False
0.975,4.0,__ALL__,60000,633,0.01055,,,False
0.975,4.0,abroad,20000,138,0.0069,10.0,6.268076005423003,False
0.975,4.0,airstrikes,20000,317,0.01585,39.0,17.485982642450118,False
0.975,4.0,alcohol,20000,178,0.0089,15.0,7.443188758354801,False
0.99,2.0,__ALL__,60000,385,0.006416666666666667,,,False
0.99,2.0,abroad,20000,91,0.00455,23.0,3.7612380027115018,False
0.99,2.0,airstrikes,20000,190,0.0095,60.0,9.79319132122506,False
0.99,2.0,alcohol,20000,104,0.0052,36.0,4.355519379177401,False
0.99,3.0,__ALL__,60000,371,0.006183333333333333,,,False
0.99,3.0,abroad,20000,81,0.00405,23.0,5.014657004067253,False
0.99,3.0,airstrikes,20000,186,0.0093,60.0,13.639586981837589,False
0.99,3.0,alcohol,20000,104,0.0052,36.0,5.899354068766101,False
0.99,4.0,__ALL__,60000,348,0.0058,,,False
0.99,4.0,abroad,20000,81,0.00405,23.0,6.268076005423003,False
0.99,4.0,airstrikes,20000,163,0.00815,60.0,17.485982642450118,False
0.99,4.0,alcohol,20000,104,0.0052,36.0,7.443188758354801,False
