event_id,is_sse,final_cascade_size,time_to_sse_minutes,graph_nodes,graph_edges,graph_cross_edge_ratio,split
synthetic_sse_graph::00000000,0,1,,1,0,0.0,train
synthetic_sse_graph::00000001,0,3,,3,2,0.0,train
synthetic_sse_graph::00000002,0,14,,14,13,0.0,train
synthetic_sse_graph::00000003,0,2,,2,1,1.0,train
synthetic_sse_graph::00000004,0,9,,9,8,0.125,train
synthetic_sse_graph::00000005,0,2,,2,1,0.0,train
synthetic_sse_graph::00000006,0,2,,2,1,0.0,train
synthetic_sse_graph::00000007,0,3,,3,2,0.0,train
synthetic_sse_graph::00000008,0,1,,1,0,0.0,train
synthetic_sse_graph::00000009,0,1,,1,0,0.0,train
synthetic_sse_graph::00000010,0,7,,7,6,0.0,train
synthetic_sse_graph::00000011,0,4,,4,3,0.0,train
synthetic_sse_graph::00000012,0,2,,2,1,0.0,train
synthetic_sse_graph::00000013,0,4,,4,3,0.0,train
synthetic_sse_graph::00000014,0,7,,7,6,0.0,train
synthetic_sse_graph::00000015,0,7,,7,6,0.0,train
synthetic_sse_graph::00000016,0,2,,2,1,0.0,train
synthetic_sse_graph::00000017,0,1,,1,0,0.0,train
synthetic_sse_graph::00000018,0,1,,1,0,0.0,train
synthetic_sse_graph::00000019,0,3,,3,2,0.0,train
synthetic_sse_graph::00000020,0,7,,7,6,0.0,train
synthetic_sse_graph::00000021,0,1,,1,0,0.0,train
synthetic_sse_graph::00000022,0,1,,1,0,0.0,train
synthetic_sse_graph::00000023,0,4,,4,3,0.0,train
synthetic_sse_graph::00000024,0,8,,8,7,0.0,train
synthetic_sse_graph::00000025,0,1,,1,0,0.0,train
synthetic_sse_graph::00000026,0,1,,1,0,0.0,train
synthetic_sse_graph::00000027,0,1,,1,0,0.0,train
synthetic_sse_graph::00000028,0,2,,2,1,0.0,train
synthetic_sse_graph::00000029,0,2,,2,1,0.0,train
synthetic_sse_graph::00000030,0,5,,5,4,0.0,train
synthetic_sse_graph::00000031,0,1,,1,0,0.0,train
synthetic_sse_graph::00000032,0,6,,6,5,0.0,train
synthetic_sse_graph::00000033,0,7,,7,6,0.0,train
synthetic_sse_graph::00000034,0,1,,1,0,0.0,train
synthetic_sse_graph::00000035,0,1,,1,0,0.0,train
synthetic_sse_graph::00000036,0,1,,1,0,0.0,train
synthetic_sse_graph::00000037,0,1,,1,0,0.0,train
synthetic_sse_graph::00000038,0,2,,2,1,0.0,train
synthetic_sse_graph::00000039,0,1,,1,0,0.0,train
synthetic_sse_graph::00000040,0,1,,1,0,0.0,train
synthetic_sse_graph::00000041,0,1,,1,0,0.0,train
synthetic_sse_graph::00000042,0,1,,1,0,0.0,train
synthetic_sse_graph::00000043,0,1,,1,0,0.0,train
synthetic_sse_graph::00000044,0,2,,2,1,0.0,train
synthetic_sse_graph::00000045,0,2,,2,1,0.0,train
synthetic_sse_graph::00000046,0,10,,10,9,0.0,train
synthetic_sse_graph::00000047,0,2,,2,1,0.0,train
synthetic_sse_graph::00000048,0,1,,1,0,0.0,train
synthetic_sse_graph::00000049,0,1,,1,0,0.0,train
synthetic_sse_graph::00000050,0,2,,2,1,0.0,train
synthetic_sse_graph::00000051,1,3,160.0,3,2,0.0,train
synthetic_sse_graph::00000052,0,7,,7,6,0.0,train
synthetic_sse_graph::00000053,0,1,,1,0,0.0,train
synthetic_sse_graph::00000054,0,1,,1,0,0.0,train
synthetic_sse_graph::00000055,0,1,,1,0,0.0,train
synthetic_sse_graph::00000056,0,1,,1,0,0.0,train
synthetic_sse_graph::00000057,0,12,,12,11,0.0,train
synthetic_sse_graph::00000058,0,1,,1,0,0.0,train
synthetic_sse_graph::00000059,0,39,,39,38,0.0,train
synthetic_sse_graph::00000060,0,12,,12,11,0.0,train
synthetic_sse_graph::00000061,0,1,,1,0,0.0,train
synthetic_sse_graph::00000062,0,18,,18,17,0.0,train
synthetic_sse_graph::00000063,0,15,,15,14,0.0,train
synthetic_sse_graph::00000064,0,1,,1,0,0.0,train
synthetic_sse_graph::00000065,0,50,,50,49,0.02040816326530612,train
synthetic_sse_graph::00000066,0,12,,12,11,0.09090909090909091,train
synthetic_sse_graph::00000067,0,1,,1,0,0.0,train
synthetic_sse_graph::00000068,1,2,240.0,2,1,0.0,train
synthetic_sse_graph::00000069,0,1,,1,0,0.0,train
synthetic_sse_graph::00000070,0,2,,2,1,0.0,train
synthetic_sse_graph::00000071,0,1,,1,0,0.0,train
synthetic_sse_graph::00000072,0,1,,1,0,0.0,train
synthetic_sse_graph::00000073,0,8,,8,7,0.0,train
synthetic_sse_graph::00000074,0,4,,4,3,0.0,train
synthetic_sse_graph::00000075,0,4,,4,3,0.0,train
synthetic_sse_graph::00000076,0,3,,3,2,0.0,train
synthetic_sse_graph::00000077,0,2,,2,1,1.0,train
synthetic_sse_graph::00000078,0,6,,6,5,0.0,train
synthetic_sse_graph::00000079,0,2,,2,1,0.0,train
synthetic_sse_graph::00000080,0,2,,2,1,0.0,train
synthetic_sse_graph::00000081,0,1,,1,0,0.0,train
synthetic_sse_graph::00000082,0,2,,2,1,0.0,train
synthetic_sse_graph::00000083,0,1,,1,0,0.0,train
synthetic_sse_graph::00000084,0,1,,1,0,0.0,train
synthetic_sse_graph::00000085,0,1,,1,0,0.0,train
synthetic_sse_graph::00000086,0,4,,4,3,0.0,train
