platform,topic,events,size_threshold,growth_threshold,size_candidate_events,growth_candidate_events,size_only_events,growth_only_events,sse_events,sse_rate,median_time_to_sse_minutes
facebook,economy,29928,715.7299999999996,404.5280388572308,300,235,103,38,197,0.006582464581662657,820.0
facebook,microsoft,18531,458.8000000000029,367.9307050684789,186,106,89,9,97,0.0052344719658949865,860.0
facebook,obama,27015,4561.320000000007,274.13511559801174,271,2276,4,2009,267,0.009883398112159911,500.0
facebook,palestine,7687,930.5400000000036,152.39924420467074,77,172,13,108,64,0.008325744763887082,670.0
googleplus,economy,33069,27.0,11.608648291822712,338,212,206,80,132,0.003991653814750975,460.0
googleplus,microsoft,20702,72.0,17.721265842355276,210,222,111,123,99,0.004782146652497344,200.0
googleplus,obama,27157,107.0,17.084188037916455,276,623,136,483,140,0.005155208601833781,400.0
googleplus,palestine,7749,43.0,20.743071722909136,81,35,57,11,24,0.003097173828881146,950.0
linkedin,economy,33069,353.3199999999997,64.81882389945235,331,366,130,165,201,0.006078200127007167,460.0
linkedin,microsoft,20702,554.9600000000064,83.00231116527479,208,242,98,132,110,0.005313496280552604,260.0
linkedin,obama,27157,148.0,30.664511473386977,273,300,119,146,154,0.005670729462017159,500.0
linkedin,palestine,7749,21.0,13.994686937196017,82,23,60,1,22,0.002839076009807717,760.0
