platform,topic,events,unmatched_metadata_rows,missing_source_rows,negative_feedback_cells,negative_feedback_rate,series_with_negative,all_missing_series,mean_leading_missing_bins,median_leading_missing_bins
facebook,economy,29928,0,30,754991,0.17518688370607977,26990,567,25.22691125367549,19.0
facebook,microsoft,18531,0,5,505624,0.18948128961080232,16488,392,27.285305703955533,23.0
facebook,obama,27015,0,6,578939,0.14882138523865343,22641,403,21.430279474366092,12.0
facebook,palestine,7687,0,179,165530,0.14953998814737723,5420,165,21.533758293222323,11.0
googleplus,economy,33069,0,32,493981,0.10373532949623851,23676,332,14.937887447458344,3.0
googleplus,microsoft,20702,0,6,349824,0.11734776028081023,14803,287,16.898077480436672,6.0
googleplus,obama,27157,0,6,499119,0.1276320715346565,20793,410,18.379018300990538,6.0
googleplus,palestine,7749,0,179,145224,0.1301458252677765,4672,156,18.740998838559815,3.0
linkedin,economy,33069,0,32,493766,0.10369017979242057,23646,333,14.931385890108562,3.0
linkedin,microsoft,20702,0,6,349734,0.11731756996103436,14788,287,16.893730074388948,6.0
linkedin,obama,27157,0,6,499108,0.12762925867282018,20790,410,18.378613248886108,6.0
linkedin,palestine,7749,0,179,145239,0.13015926786251988,4672,156,18.742934572202866,3.0
