platform,topic,size_quantile,growth_sigma,size_threshold,growth_threshold,sse_events,sse_rate
facebook,economy,0.95,2.0,160.0,272.45356890320534,360,0.012028869286287089
facebook,economy,0.95,3.0,160.0,404.5280388572308,235,0.00785217856188185
facebook,economy,0.95,4.0,160.0,536.6025088112563,167,0.0055800588078053995
facebook,economy,0.975,2.0,336.0,272.45356890320534,351,0.011728147554129912
facebook,economy,0.975,3.0,336.0,404.5280388572308,235,0.00785217856188185
facebook,economy,0.975,4.0,336.0,536.6025088112563,167,0.0055800588078053995
facebook,economy,0.99,2.0,715.7299999999996,272.45356890320534,227,0.007584870355519914
facebook,economy,0.99,3.0,715.7299999999996,404.5280388572308,197,0.006582464581662657
facebook,economy,0.99,4.0,715.7299999999996,536.6025088112563,154,0.005145682972467255
facebook,microsoft,0.95,2.0,121.0,247.76929729773656,164,0.008850035076358535
facebook,microsoft,0.95,3.0,121.0,367.9307050684789,106,0.005720144622524418
facebook,microsoft,0.95,4.0,121.0,488.0921128392213,81,0.004371053909664886
facebook,microsoft,0.975,2.0,218.75,247.76929729773656,164,0.008850035076358535
facebook,microsoft,0.975,3.0,218.75,367.9307050684789,106,0.005720144622524418
facebook,microsoft,0.975,4.0,218.75,488.0921128392213,81,0.004371053909664886
facebook,microsoft,0.99,2.0,458.8000000000029,247.76929729773656,127,0.006853380821326426
facebook,microsoft,0.99,3.0,458.8000000000029,367.9307050684789,97,0.0052344719658949865
facebook,microsoft,0.99,4.0,458.8000000000029,488.0921128392213,81,0.004371053909664886
facebook,obama,0.95,2.0,1388.0,186.75227955431774,1253,0.04638163982972423
facebook,obama,0.95,3.0,1388.0,274.13511559801174,1168,0.043235239681658336
facebook,obama,0.95,4.0,1388.0,361.51795164170574,1074,0.03975569128262076
facebook,obama,0.975,2.0,2447.5499999999847,186.75227955431774,654,0.024208772903942254
facebook,obama,0.975,3.0,2447.5499999999847,274.13511559801174,639,0.02365352581898945
facebook,obama,0.975,4.0,2447.5499999999847,361.51795164170574,614,0.02272811401073478
facebook,obama,0.99,2.0,4561.320000000007,186.75227955431774,269,0.009957431056820286
facebook,obama,0.99,3.0,4561.320000000007,274.13511559801174,267,0.009883398112159911
facebook,obama,0.99,4.0,4561.320000000007,361.51795164170574,265,0.009809365167499537
facebook,palestine,0.95,2.0,213.0,103.43065506014672,214,0.02783920905424743
facebook,palestine,0.95,3.0,213.0,152.39924420467074,160,0.020814361909717704
facebook,palestine,0.95,4.0,213.0,201.36783334919477,120,0.015610771432288279
facebook,palestine,0.975,2.0,428.0,103.43065506014672,148,0.01925328476648888
facebook,palestine,0.975,3.0,428.0,152.39924420467074,119,0.015480681670352544
facebook,palestine,0.975,4.0,428.0,201.36783334919477,100,0.013008976193573565
facebook,palestine,0.99,2.0,930.5400000000036,103.43065506014672,68,0.008846103811630025
facebook,palestine,0.99,3.0,930.5400000000036,152.39924420467074,64,0.008325744763887082
facebook,palestine,0.99,4.0,930.5400000000036,201.36783334919477,61,0.007935475478079875
googleplus,economy,0.95,2.0,7.0,8.29724820190818,353,0.01067464997429617
googleplus,economy,0.95,3.0,7.0,11.608648291822712,212,0.006410837944903081
googleplus,economy,0.95,4.0,7.0,14.920048381737244,142,0.004294051831019988
googleplus,economy,0.975,2.0,13.0,8.29724820190818,301,0.009102180289697299
googleplus,economy,0.975,3.0,13.0,11.608648291822712,205,0.006199159333514772
googleplus,economy,0.975,4.0,13.0,14.920048381737244,142,0.004294051831019988
googleplus,economy,0.99,2.0,27.0,8.29724820190818,172,0.005201245879827028
googleplus,economy,0.99,3.0,27.0,11.608648291822712,132,0.003991653814750975
googleplus,economy,0.99,4.0,27.0,14.920048381737244,109,0.0032961383773322445
googleplus,microsoft,0.95,2.0,18.0,12.4554003751306,320,0.015457443725243937
googleplus,microsoft,0.95,3.0,18.0,17.721265842355276,222,0.010723601584387982
googleplus,microsoft,0.95,4.0,18.0,22.98713130957995,160,0.007728721862621969
googleplus,microsoft,0.975,2.0,34.0,12.4554003751306,230,0.01111003767751908
googleplus,microsoft,0.975,3.0,34.0,17.721265842355276,174,0.008404985025601391
googleplus,microsoft,0.975,4.0,34.0,22.98713130957995,140,0.006762631629794223
googleplus,microsoft,0.99,2.0,72.0,12.4554003751306,123,0.005941454931890639
googleplus,microsoft,0.99,3.0,72.0,17.721265842355276,99,0.004782146652497344
googleplus,microsoft,0.99,4.0,72.0,22.98713130957995,81,0.003912665442952372
googleplus,obama,0.95,2.0,35.0,12.086121430725505,606,0.02231468866222337
googleplus,obama,0.95,3.0,35.0,17.084188037916455,447,0.016459844607283572
googleplus,obama,0.95,4.0,35.0,22.082254645107405,367,0.013514011120521412
googleplus,obama,0.975,2.0,60.0,12.086121430725505,402,0.014802813270979858
googleplus,obama,0.975,3.0,60.0,17.084188037916455,290,0.010678646389512833
googleplus,obama,0.975,4.0,60.0,22.082254645107405,247,0.009095260890378171
googleplus,obama,0.99,2.0,107.0,12.086121430725505,201,0.007401406635489929
googleplus,obama,0.99,3.0,107.0,17.084188037916455,140,0.005155208601833781
googleplus,obama,0.99,4.0,107.0,22.082254645107405,117,0.00430828147438966
googleplus,palestine,0.95,2.0,10.0,14.448748838821537,52,0.00671054329590915
googleplus,palestine,0.95,3.0,10.0,20.743071722909136,35,0.004516711833785004
googleplus,palestine,0.95,4.0,10.0,27.037394606996735,26,0.003355271647954575
googleplus,palestine,0.975,2.0,21.0,14.448748838821537,45,0.005807200929152149
googleplus,palestine,0.975,3.0,21.0,20.743071722909136,35,0.004516711833785004
googleplus,palestine,0.975,4.0,21.0,27.037394606996735,26,0.003355271647954575
googleplus,palestine,0.99,2.0,43.0,14.448748838821537,28,0.0036133694670280035
googleplus,palestine,0.99,3.0,43.0,20.743071722909136,24,0.003097173828881146
googleplus,palestine,0.99,4.0,43.0,27.037394606996735,23,0.0029681249193444317
linkedin,economy,0.95,2.0,64.0,44.28193647168877,484,0.014636063987420242
linkedin,economy,0.95,3.0,64.0,64.81882389945235,366,0.011067767395445885
linkedin,economy,0.95,4.0,64.0,85.35571132721593,293,0.00886026187668209
